datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A;A1;A2;A3;B;B1;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
09.03.2025;Oberbürgermeisterwahl;06414000;1431;1431 Wilh.-Heinrich-v.-Riehl-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1471;1471 Altenwohnanlage Parkfeld II;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1472;1472 Otto-Stückrath-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1473;1473 Otto-Stückrath-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1511;1511 Fr.-v.-Bodelschwingh-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1512;1512 Fr.-v.-Bodelschwingh-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1513;1513 Ludwig-Beck-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1531;1531 Diesterwegschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1541;1541 Diesterwegschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1542;1542 Diesterwegschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1543;1543 Diesterwegschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1551;1551 Gymnasium am Mosbacher Berg;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1552;1552 Ev. Heilig-Geist-Kirchengemeinde;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1581;1581 Grundschule Sauerland;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1611;1611 Helen-Keller-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1612;1612 Philipp-Reis-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1613;1613 Philipp-Reis-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1621;1621 Kohlheckschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1622;1622 Kohlheckschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1623;1623 Kohlheckschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1624;1624 Freie Christliche Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1641;1641 Grundschule Sauerland;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1642;1642 Grundschule Sauerland;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1651;1651 Kinderhaus Freudenberg;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1661;1661 Stadtteilz. Schelmengraben;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1662;1662 Stadtteilz. Schelmengraben;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1681;1681 Helen-Keller-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1691;1691 Joseph-von-Eichendorff-Schule;1;0;;;;;;;;;;;;;;;;;;
