datum;ags;Bezirk-Nr;Bezirk-Name;Bezirk-Art;Wahlraum-Bezeichnung;Wahlraum-Adresse;Wahlraum-Barrierefrei;Wahlraum-Barrierefrei-Ergaenzung
09.03.2025;06414000;1414;1414 Goetheschule;W;Goetheschule, Zimmer 5;Goethestraße 8, 65203 Wiesbaden;nein;
09.03.2025;06414000;1415;1415 Wilh.-Heinrich-v.-Riehl-Schule;W;Wilh.-Heinrich-v.-Riehl-Schule, Eing. Riehlstr. Neub. Zi. 018;Rud.-Dyckerhoff-Str. 10, 65203 Wiesbaden;ja;
09.03.2025;06414000;1421;1421 Pestalozzischule;W;Pestalozzischule, Zimmer 3;Hubertusstraße 1 bis 5, 65203 Wiesbaden;nein;
09.03.2025;06414000;1431;1431 Wilh.-Heinrich-v.-Riehl-Schule;W;Wilh.-Heinrich-v.-Riehl-Schule, Eing. Riehlstr. Neub. Zi. 015;Rud.-Dyckerhoff-Str. 10, 65203 Wiesbaden;ja;
09.03.2025;06414000;1471;1471 Altenwohnanlage Parkfeld II;W;Altenwohnanlage Parkfeld II, Speisesaal;Hahnemannstraße 6, 65203 Wiesbaden;ja;
09.03.2025;06414000;1472;1472 Otto-Stückrath-Schule;W;Otto-Stückrath-Schule, Zimmer 101;Alb.-Schweitzer-Allee 40, 65203 Wiesbaden;ja;
09.03.2025;06414000;1473;1473 Otto-Stückrath-Schule;W;Otto-Stückrath-Schule, Zimmer 105;Alb.-Schweitzer-Allee 40, 65203 Wiesbaden;ja;
09.03.2025;06414000;1511;1511 Fr.-v.-Bodelschwingh-Schule;W;Fr.-v.-Bodelschwingh-Schule, Zimmer 75;Pörtschacher Straße 12, 65187 Wiesbaden;ja;
09.03.2025;06414000;1512;1512 Fr.-v.-Bodelschwingh-Schule;W;Fr.-v.-Bodelschwingh-Schule, Zimmer 75;Pörtschacher Straße 12, 65187 Wiesbaden;ja;
09.03.2025;06414000;1513;1513 Ludwig-Beck-Schule;W;Ludwig-Beck-Schule, Eing. Villacher Str. Zi. H 2;Wörther-See-Straße 8, 65187 Wiesbaden;nein;
