datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D4
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;55;00055 - Waldschule Tempelsee;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;56;00056 - Waldschule Tempelsee;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;57;00057 - Geschwister-Scholl-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;58;00058 - Geschwister-Scholl-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;59;00059 - Schule Bieber;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;60;00060 - Geschwister-Scholl-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;61;00061 - Schule Bieber;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;62;00062 - Schule Bieber;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;63;00063 - Geschwister-Scholl-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;64;00064 - Schule Bieber;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;65;00065 - Schule Bieber-Waldhof;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;66;00066 - Schule Bieber-Waldhof;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;67;00067 - Friedrich-Ebert-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;68;00068 - Friedrich-Ebert-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;69;00069 - Uhlandschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;70;00070 - Ernst-Reuter-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;71;00071 - Uhlandschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;72;00072 - Uhlandschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;73;00073 - Uhlandschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;74;00074 - Uhlandschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;75;00075 - Uhlandschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;76;00076 - Ernst-Reuter-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;77;00077 - Ernst-Reuter-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;78;00078 - Ernst-Reuter-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;79;00079 - Ernst-Reuter-Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91001;91001 - Briefwahlbezirk 1;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91002;91002 - Briefwahlbezirk 2;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91003;91003 - Briefwahlbezirk 3;1;0;;;;;;;;;;;;
